,att_id,att_name,att_cat,att_price,score
30,11452241,Eat Like a Local: Kuala Lumpur Hawker Center and Street Food Tour by Night,tours_sightseeing,255.51,5.0
260,13335655,ESCAPE Admission Ticket,theme_parks,166.49,4.656779805426151
20,11449719,Penang Hill and Temple Tour,recommended_experiences,149.8,2.2657052449999866
396,16722683,KL Hop On Hop Off City Tour,featured_tours_and_tickets,53.07,2.2204357594331086
302,14128357,Dragon Back Trek,outdoor_activities,214.3,2.118917601042341
243,13198369,Langkawi Mangrove Forest and Cave Exploring Tour,luxury_special_occasions,149.37,1.58774829662681
187,12905660,Petronas Twin Towers Admission Tickets (E-Tickets),featured_tours_and_tickets,119.49,1.4490770719021415
53,11471521,Half-Day Heritage Bike Tour in Kuching,walking_biking_tours,193.69,1.3508673505501392
405,16822076,Sunset Party Yacht Cruise,shore_excursions,317.43,1.2600583564251053
93,11841295,"Private Langkawi Tour with SkyBridge, Langkawi Cable Car",private_custom_tours,236.96,1.2326025235352565
100,11991123,Cheong Fatt Tze George Town Penang: The Blue Mansion Guided Tour,featured_tours_and_tickets,20.61,1.2190699149820814
32,11452959,Small-Group Food Trail Walking Tour in Kuala Lumpur,featured_tours_and_tickets,243.14,1.1869974754161108
512,17682752,Malaysian Cooking Classes,food_wine_nightlife,432.71,1.0249181410883237
529,17718163,Penang: Flexible 6-Hours Highlights,featured_tours_and_tickets,309.04,0.9332676190001808
52,11471161,Kuala Lumpur Food Tour Through Chow Kit,food_wine_nightlife,292.6,0.7878274684164854
102,11991714,Penang George Town All-In-One Heritage Tour By Bicycle & Trishaw (Metro Bike),walking_biking_tours,226.66,0.7774381372083816
232,13088933,Wonderfood Museum Penang Admission Ticket,sightseeing_tickets_passes,24.31,0.7602300700748985
91,11812460,Private Half-Day Batu Caves Waterfalls and Hot Springs Tour,featured_tours_and_tickets,377.67,0.7482074930069288
174,12608953,6 Flights: Guided Zipline Eco Adventure in Langkawi,outdoor_activities,234.9,0.6515104247225709
72,11484318,Sunway Lagoon Malaysia One-Day Pass,featured_tours_and_tickets,177.18,0.6423742099205922
59,11474972,Half-Day Penang Countryside Cycling Tour,featured_tours_and_tickets,115.81,0.6284169050122034
142,12468200,Private Tour: Kuala Lumpur with Petronas Twin Towers Observation Deck and Batu Caves,featured_tours_and_tickets,407.98,0.5885216634464895
56,11474094,"Day Tour Kuala Lumpur City, Batu Caves & Little India ",day_trips_excursions,370.9,0.581267744836138
565,19086271,Langkawi: Flexible 6-Hours Tour,shore_excursions,325.52,0.5775057740353231
178,12649821,Full Day Batu Caves and Kuala Gandah National Conservation Tour ex Kuala Lumpur,luxury_special_occasions,515.07,0.5318640237620231
554,18912166,Batu Caves and the Old City of Kuala Lumpur,private_custom_tours,247.26,0.4801847691303424
360,15342653,Stray Asia: 9 Day Borneo Explorer Tour,multiday_extended_tours,7809.41,0.47162268088263437
536,17775280,"Monkey, Eagle & Firefly Private Tour",outdoor_activities,277.76,0.45072080409176585
233,13131236,Penang Hill Funicular Ticket,sightseeing_tickets_passes,31.94,0.4410419217247915
215,12961398,City Tour with Batu Cave and Fireflies Tour,private_custom_tours,412.11,0.4229923266281993
83,11764384,Private Tour: Full Day Center Penang Island Tour,private_custom_tours,412.05,0.41434372615998466
180,12650625,2 hour Small Group Segway Tour of Perdana Botanical Gardens,recommended_experiences,214.3,0.39813448193598616
78,11486172,3-Hour Heritage on a Plate Dinner Hop in George Town Penang,walking_biking_tours,247.26,0.3976757050090576
333,15126852,Magical River Trek,outdoor_activities,329.68,0.3679600680562801
